timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1642121914531,1,http://localhost/blog/-6,200,OK,Thread Group 1-1,text,true,,2887,556,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,1,0,1
1642121914532,2,http://localhost/blog/-7,200,OK,Thread Group 1-1,text,true,,1421,518,1,1,http://localhost/blog/en-us.res.axd,2,0,0
1642121914532,2,http://localhost/blog/-8,200,OK,Thread Group 1-1,text,true,,92937,540,1,1,http://localhost/blog/Scripts/Auto/01-jquery-1.9.1.min.js,2,0,0
1642121914532,1,http://localhost/blog/-9,200,OK,Thread Group 1-1,text,true,,2532,537,1,1,http://localhost/blog/Scripts/Auto/02-jquery.cookie.js,1,0,0
1642121914532,2,http://localhost/blog/-10,200,OK,Thread Group 1-1,text,true,,10009,541,1,1,http://localhost/blog/Scripts/Auto/04-jquery-jtemplates.js,2,0,0
1642121914533,1,http://localhost/blog/-11,200,OK,Thread Group 1-1,text,true,,3068,533,1,1,http://localhost/blog/Scripts/Auto/05-json2.min.js,0,0,0
1642121914534,1,http://localhost/blog/-12,200,OK,Thread Group 1-1,text,true,,24753,525,1,1,http://localhost/blog/Scripts/Auto/blog.js,1,0,0
1642121914534,1,http://localhost/blog/-13,200,OK,Thread Group 1-1,text,true,,30406,549,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/XRegExp.js,1,0,0
1642121914534,1,http://localhost/blog/-14,200,OK,Thread Group 1-1,text,true,,44438,548,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shCore.js,1,0,0
1642121914534,1,http://localhost/blog/-15,200,OK,Thread Group 1-1,text,true,,2730,554,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shAutoloader.js,1,0,0
1642121914534,1,http://localhost/blog/-16,200,OK,Thread Group 1-1,text,true,,2141,545,1,1,http://localhost/blog/scripts/syntaxhighlighter/shActivator.js,1,0,0
1642121914535,1,http://localhost/blog/-17,200,OK,Thread Group 1-1,text,true,,23342,615,1,1,http://localhost/blog/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZKFmBG-AUY7YwSX-Eh_-So8UKa0fIVRDpGlQdJn4r3q4SNLVEw2&t=637729692413207958,1,0,0
1642121914535,1,http://localhost/blog/-18,200,OK,Thread Group 1-1,bin,true,,839,538,1,1,http://localhost/blog/Content/images/blog/rssButton.png,1,0,0
1642121914535,58,http://localhost/blog/-19,200,OK,Thread Group 1-1,bin,true,,1475,562,1,1,http://www.gravatar.com/avatar/6d639091c771c54398e476fbbabb2ce4.jpg?d=identicon,58,0,30
1642121914536,53,http://localhost/blog/-20,200,OK,Thread Group 1-1,bin,true,,3352,562,1,1,http://www.gravatar.com/avatar/0cfd6b180bda41ecaf4e158cec9de287.jpg?d=identicon,53,0,29
1642121914498,86,openHomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,326218,11429,1,1,null,6,26,1
1642121914497,87,Algo,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,326218,11429,1,1,null,6,27,1
